Start Time: 9/10/2024 3:29:54 PM
RDT Sample Rate: 500
Force Units: N
Counts per Unit Force: 1000000
Torque Units: Nm
Counts per Unit Torque: 1000000
Status (hex), RDTSequence, F/T Sequence, Fx , Fy , Fz , Tx , Ty , Tz , Time 
0x0, 33019, 17313, 0.0008620024, 0.009549022, 0.2242479, -0.0009390004, 0.0001570005, 0.0002040006, 15:31:09.270
0x0, 33020, 17314, -0.001944005, 0.01498997, 0.211122, -0.001342, -4.099961E-05, 7.800013E-05, 15:31:09.278
0x0, 33021, 17315, -0.00598, 0.02560198, 0.1989794, -0.001861, -8.199923E-05, 0.0005789995, 15:31:09.285
0x0, 33022, 17316, -0.01062101, -0.003059983, 0.1864591, -0.001891, -1.499988E-05, 0.000328999, 15:31:09.294
0x0, 33023, 17317, -0.005497009, -0.005704999, 0.1968479, -0.001635, -0.0005529998, -0.0004799999, 15:31:09.302
0x0, 33024, 17318, 0.010603, -0.003350973, 0.1917133, -0.001312, -0.0003219992, 0.000661999, 15:31:09.310
0x0, 33025, 17319, 0.015067, 0.009726048, 0.1979933, -0.001032, -3.399979E-05, -0.0004880019, 15:31:09.318
0x0, 33026, 17320, -0.001429006, 0.01011705, 0.1992359, -0.001271, -6.799959E-05, 8.999929E-05, 15:31:09.326
0x0, 33027, 17321, 0.004335999, 0.01719403, 0.2039552, -0.002123, -0.000244, 0.0001420006, 15:31:09.334
0x0, 33028, 17322, -0.007440999, 0.01921606, 0.199513, -0.002006, -0.0004519997, -5.600229E-05, 15:31:09.343
0x0, 33029, 17323, 0.003558993, -0.004943967, 0.1932292, -0.001733, -0.0003599999, 7.399917E-05, 15:31:09.350
0x0, 33030, 17324, -0.017601, -0.007064939, 0.1851931, -0.00151, 3.1E-05, 0.0002029985, 15:31:09.357
0x0, 33031, 17325, 0.007202998, 0.001845956, 0.1933832, -0.0009359997, -0.0005029999, -0.0002750009, 15:31:09.365
0x0, 33032, 17326, 0.005071998, -0.004219055, 0.1911511, -0.0008230004, -0.0002279999, 0.0001010001, 15:31:09.375
0x0, 33033, 17327, -0.002332002, 0.01254606, 0.1968813, -0.001555, 0.0002340004, 0.0002099983, 15:31:09.383
0x0, 33034, 17328, -0.010314, 0.01063001, 0.1953573, -0.002241, 7.600058E-05, 8.999929E-05, 15:31:09.390
0x0, 33035, 17329, -0.01737401, 0.01121998, 0.2015791, -0.002061, -0.0004249997, 0.0006859973, 15:31:09.397
0x0, 33036, 17330, -0.005766004, 0.0008150339, 0.1947703, -0.001404, -0.0004559997, 0.0001299977, 15:31:09.406
0x0, 33037, 17331, -5.90086E-05, -0.001847029, 0.207283, -0.0009979997, -0.0002359999, 0.0002270006, 15:31:09.414
0x0, 33038, 17332, -0.009889007, 0.002434015, 0.1776791, -0.000767, 0.0001680003, 0.0004179999, 15:31:09.422
0x0, 33039, 17333, -0.0005510002, 0.009552002, 0.2103753, -0.001538, 7.800013E-05, 0.0002909973, 15:31:09.431
0x0, 33040, 17334, -0.002156004, 0.007444024, 0.207006, -0.001388, -0.0001689997, 0.0004789978, 15:31:09.438
0x0, 33041, 17335, -0.01061201, 0.003059983, 0.2022653, -0.002048, -0.0003450001, -8.001924E-06, 15:31:09.445
0x0, 33042, 17336, -0.00918901, 0.01575696, 0.20716, -0.001836, -0.000697, -0.0002120025, 15:31:09.454
0x0, 33043, 17337, -0.006788999, -0.004374981, 0.2061453, -0.001231, -0.0003399998, -0.0002960004, 15:31:09.463
0x0, 33044, 17338, -0.001662001, 0.007552981, 0.199213, -0.00118, -0.0004629996, 0.0003929995, 15:31:09.471
0x0, 33045, 17339, -0.002624005, 0.008169055, 0.2002254, -0.00119, -3.599934E-05, -3.600121E-05, 15:31:09.478
0x0, 33046, 17340, -0.004096001, 0.02017903, 0.2023482, -0.001444, 0.0004799999, 0.0005350001, 15:31:09.486
0x0, 33047, 17341, -0.01789601, 0.02377701, 0.1880922, -0.001969, 5.300064E-05, 0.0003050007, 15:31:09.493
0x0, 33048, 17342, -0.01264, 0.01868105, 0.1832151, -0.001778, -0.0004409999, 0.0009020008, 15:31:09.502
0x0, 33049, 17343, -0.008474007, 0.01270604, 0.196775, -0.001509, -0.0002469998, 6.799772E-05, 15:31:09.511
0x0, 33050, 17344, 0.004307002, -0.007344961, 0.20468, -0.0007610004, -0.0002559992, 0.000452999, 15:31:09.518
0x0, 33051, 17345, 0.005669996, 0.007058024, 0.191669, -0.0005860003, 3.600027E-05, 0.0006649978, 15:31:09.525
0x0, 33052, 17346, 0.006507993, 0.008144021, 0.2205443, -0.001223, 0.0001180004, 1.80006E-05, 15:31:09.534
0x0, 33053, 17347, 0.018169, 0.005367994, 0.2070661, -0.001671, -0.0002929997, -2.999976E-05, 15:31:09.542
0x0, 33054, 17348, -0.003302008, 0.006854057, 0.1965222, -0.001652, 4.200079E-05, 0.0003499985, 15:31:09.551
0x0, 33055, 17349, -0.01197101, 0.01039398, 0.201055, -0.001837, -0.0003879992, 0.0003830008, 15:31:09.558
0x0, 33056, 17350, -0.012217, 0.007676005, 0.1932154, -0.001245, 2.400018E-05, 0.0005129986, 15:31:09.565
0x0, 33057, 17351, -0.005906001, 0.007874966, 0.2017851, -0.001111, -0.0001229998, 7.199869E-05, 15:31:09.574
0x0, 33058, 17352, -0.00619401, -0.01968205, 0.1918073, -0.001395, 0.000151, -2.299994E-05, 15:31:09.582
0x0, 33059, 17353, 0.005280003, -0.007316947, 0.1905999, -0.001718, 8.400064E-05, 2.000481E-06, 15:31:09.591
0x0, 33060, 17354, -0.009684011, 0.00387001, 0.1946721, -0.001738, -0.0001179995, -3.800169E-05, 15:31:09.599
0x0, 33061, 17355, -0.01458901, -0.00275898, 0.196795, -0.001721, -0.0002779998, -5.600229E-05, 15:31:09.606
0x0, 33062, 17356, 0.008527994, 0.001507044, 0.1897783, -0.001394, -0.0008139992, 5.997717E-06, 15:31:09.613
0x0, 33063, 17357, 0.001057997, -0.015733, 0.1857181, -0.001413, 7.700082E-05, -0.0002060011, 15:31:09.622
0x0, 33064, 17358, 0.01259899, 0.005668998, 0.2013421, -0.001429, 0.0003570002, -9.000301E-06, 15:31:09.630
